"paper_id","paper_name","finish","line","composition","grams","notes","currency","price_clp","price_display","roll_width_cm","measure_label","requested_width_cm","requested_length_cm","billed_width_cm","billed_length_cm","is_alias_size"
"canson_edition_etching_rag_310","Canson Edition Etching Rag 310grs","mate grano fino","Museo","100% algodón","310","textura de grano fino","CLP","30990","30.990","60","60x50cm","60","50","60","50","False"
"felix_schoeller_baryta_310","Felix Schoeller Baryta 310grs","baritado (baryta)","Museo","algodón (según proveedor)","310","evoca fotografía de cuarto oscuro; negros profundos","CLP","26490","26.490","60","60x50cm","60","50","60","50","False"
"canson_platine_fibre_rag_310","Canson Platine Fibre Rag 310grs","semi brillante (algodón)","Museo","100% algodón","310","acabado baritado, negros profundos","CLP","30990","30.990","60","60x50cm","60","50","60","50","False"
"felix_schoeller_watercolor_rag_310","Felix Schoeller Watercolor Rag 310grs","texturado mate (algodón)","Museo","100% algodón","310","texturado tipo acuarela","CLP","26490","26.490","60","60x50cm","60","50","60","50","False"
"felix_schoeller_smooth_200","Felix Schoeller Smooth 200grs","mate","Studio/Photo","alfa-celulosa","200","acabado liso y opaco","CLP","20990","20.990","60","60x55cm","60","55","60","55","False"
"felix_schoeller_satin_240","Felix Schoeller Satin 240grs","semi brillante satinado","Studio/Photo","alfa-celulosa","240","semi brillo que refleja menos que fotográfico","CLP","21490","21.490","60","60x55cm","60","55","60","55","False"
"hahnemuhle_photo_luster_260","Hahnemühle Photo Luster 260grs","semi brillante (luster)","Studio/Photo","alfa-celulosa","260","tipo fotográfico, textura perlada suave","CLP","22990","22.990","60","60x55cm","60","55","60","55","False"
"canson_edition_etching_rag_310","Canson Edition Etching Rag 310grs","mate grano fino","Museo","100% algodón","310","textura de grano fino","CLP","33990","33.990","60","60x55cm","60","55","60","55","False"
"felix_schoeller_baryta_310","Felix Schoeller Baryta 310grs","baritado (baryta)","Museo","algodón (según proveedor)","310","evoca fotografía de cuarto oscuro; negros profundos","CLP","28990","28.990","60","60x55cm","60","55","60","55","False"
"canson_platine_fibre_rag_310","Canson Platine Fibre Rag 310grs","semi brillante (algodón)","Museo","100% algodón","310","acabado baritado, negros profundos","CLP","33990","33.990","60","60x55cm","60","55","60","55","False"
"felix_schoeller_watercolor_rag_310","Felix Schoeller Watercolor Rag 310grs","texturado mate (algodón)","Museo","100% algodón","310","texturado tipo acuarela","CLP","28990","28.990","60","60x55cm","60","55","60","55","False"
"felix_schoeller_smooth_200","Felix Schoeller Smooth 200grs","mate","Studio/Photo","alfa-celulosa","200","acabado liso y opaco","CLP","22490","22.490","60","60x60cm","60","60","60","60","False"
"felix_schoeller_satin_240","Felix Schoeller Satin 240grs","semi brillante satinado","Studio/Photo","alfa-celulosa","240","semi brillo que refleja menos que fotográfico","CLP","23490","23.490","60","60x60cm","60","60","60","60","False"
"hahnemuhle_photo_luster_260","Hahnemühle Photo Luster 260grs","semi brillante (luster)","Studio/Photo","alfa-celulosa","260","tipo fotográfico, textura perlada suave","CLP","24990","24.990","60","60x60cm","60","60","60","60","False"
"canson_edition_etching_rag_310","Canson Edition Etching Rag 310grs","mate grano fino","Museo","100% algodón","310","textura de grano fino","CLP","36490","36.490","60","60x60cm","60","60","60","60","False"
"felix_schoeller_baryta_310","Felix Schoeller Baryta 310grs","baritado (baryta)","Museo","algodón (según proveedor)","310","evoca fotografía de cuarto oscuro; negros profundos","CLP","30990","30.990","60","60x60cm","60","60","60","60","False"
"canson_platine_fibre_rag_310","Canson Platine Fibre Rag 310grs","semi brillante (algodón)","Museo","100% algodón","310","acabado baritado, negros profundos","CLP","36490","36.490","60","60x60cm","60","60","60","60","False"
"felix_schoeller_watercolor_rag_310","Felix Schoeller Watercolor Rag 310grs","texturado mate (algodón)","Museo","100% algodón","310","texturado tipo acuarela","CLP","30990","30.990","60","60x60cm","60","60","60","60","False"
"felix_schoeller_smooth_200","Felix Schoeller Smooth 200grs","mate","Studio/Photo","alfa-celulosa","200","acabado liso y opaco","CLP","24490","24.490","60","60x65cm","60","65","60","65","False"
"felix_schoeller_satin_240","Felix Schoeller Satin 240grs","semi brillante satinado","Studio/Photo","alfa-celulosa","240","semi brillo que refleja menos que fotográfico","CLP","24990","24.990","60","60x65cm","60","65","60","65","False"
"hahnemuhle_photo_luster_260","Hahnemühle Photo Luster 260grs","semi brillante (luster)","Studio/Photo","alfa-celulosa","260","tipo fotográfico, textura perlada suave","CLP","26990","26.990","60","60x65cm","60","65","60","65","False"
"canson_edition_etching_rag_310","Canson Edition Etching Rag 310grs","mate grano fino","Museo","100% algodón","310","textura de grano fino","CLP","39490","39.490","60","60x65cm","60","65","60","65","False"
"felix_schoeller_baryta_310","Felix Schoeller Baryta 310grs","baritado (baryta)","Museo","algodón (según proveedor)","310","evoca fotografía de cuarto oscuro; negros profundos","CLP","33490","33.490","60","60x65cm","60","65","60","65","False"
"canson_platine_fibre_rag_310","Canson Platine Fibre Rag 310grs","semi brillante (algodón)","Museo","100% algodón","310","acabado baritado, negros profundos","CLP","38990","38.990","60","60x65cm","60","65","60","65","False"
"felix_schoeller_watercolor_rag_310","Felix Schoeller Watercolor Rag 310grs","texturado mate (algodón)","Museo","100% algodón","310","texturado tipo acuarela","CLP","33490","33.490","60","60x65cm","60","65","60","65","False"
"felix_schoeller_smooth_200","Felix Schoeller Smooth 200grs","mate","Studio/Photo","alfa-celulosa","200","acabado liso y opaco","CLP","25990","25.990","60","50x70cm","50","70","60","70","True"
"felix_schoeller_satin_240","Felix Schoeller Satin 240grs","semi brillante satinado","Studio/Photo","alfa-celulosa","240","semi brillo que refleja menos que fotográfico","CLP","26490","26.490","60","50x70cm","50","70","60","70","True"
"hahnemuhle_photo_luster_260","Hahnemühle Photo Luster 260grs","semi brillante (luster)","Studio/Photo","alfa-celulosa","260","tipo fotográfico, textura perlada suave","CLP","28490","28.490","60","50x70cm","50","70","60","70","True"
"canson_edition_etching_rag_310","Canson Edition Etching Rag 310grs","mate grano fino","Museo","100% algodón","310","textura de grano fino","CLP","41990","41.990","60","50x70cm","50","70","60","70","True"
"felix_schoeller_baryta_310","Felix Schoeller Baryta 310grs","baritado (baryta)","Museo","algodón (según proveedor)","310","evoca fotografía de cuarto oscuro; negros profundos","CLP","35490","35.490","60","50x70cm","50","70","60","70","True"
"canson_platine_fibre_rag_310","Canson Platine Fibre Rag 310grs","semi brillante (algodón)","Museo","100% algodón","310","acabado baritado, negros profundos","CLP","41990","41.990","60","50x70cm","50","70","60","70","True"
"felix_schoeller_watercolor_rag_310","Felix Schoeller Watercolor Rag 310grs","texturado mate (algodón)","Museo","100% algodón","310","texturado tipo acuarela","CLP","35490","35.490","60","50x70cm","50","70","60","70","True"
"felix_schoeller_smooth_200","Felix Schoeller Smooth 200grs","mate","Studio/Photo","alfa-celulosa","200","acabado liso y opaco","CLP","25990","25.990","60","60x70cm","60","70","60","70","False"
"felix_schoeller_satin_240","Felix Schoeller Satin 240grs","semi brillante satinado","Studio/Photo","alfa-celulosa","240","semi brillo que refleja menos que fotográfico","CLP","26490","26.490","60","60x70cm","60","70","60","70","False"
"hahnemuhle_photo_luster_260","Hahnemühle Photo Luster 260grs","semi brillante (luster)","Studio/Photo","alfa-celulosa","260","tipo fotográfico, textura perlada suave","CLP","28490","28.490","60","60x70cm","60","70","60","70","False"
"canson_edition_etching_rag_310","Canson Edition Etching Rag 310grs","mate grano fino","Museo","100% algodón","310","textura de grano fino","CLP","41990","41.990","60","60x70cm","60","70","60","70","False"
"felix_schoeller_baryta_310","Felix Schoeller Baryta 310grs","baritado (baryta)","Museo","algodón (según proveedor)","310","evoca fotografía de cuarto oscuro; negros profundos","CLP","35490","35.490","60","60x70cm","60","70","60","70","False"
"canson_platine_fibre_rag_310","Canson Platine Fibre Rag 310grs","semi brillante (algodón)","Museo","100% algodón","310","acabado baritado, negros profundos","CLP","41990","41.990","60","60x70cm","60","70","60","70","False"
"felix_schoeller_watercolor_rag_310","Felix Schoeller Watercolor Rag 310grs","texturado mate (algodón)","Museo","100% algodón","310","texturado tipo acuarela","CLP","35490","35.490","60","60x70cm","60","70","60","70","False"
"felix_schoeller_smooth_200","Felix Schoeller Smooth 200grs","mate","Studio/Photo","alfa-celulosa","200","acabado liso y opaco","CLP","27490","27.490","60","50x75cm","50","75","60","75","True"
"felix_schoeller_satin_240","Felix Schoeller Satin 240grs","semi brillante satinado","Studio/Photo","alfa-celulosa","240","semi brillo que refleja menos que fotográfico","CLP","28490","28.490","60","50x75cm","50","75","60","75","True"
"hahnemuhle_photo_luster_260","Hahnemühle Photo Luster 260grs","semi brillante (luster)","Studio/Photo","alfa-celulosa","260","tipo fotográfico, textura perlada suave","CLP","30490","30.490","60","50x75cm","50","75","60","75","True"
"canson_edition_etching_rag_310","Canson Edition Etching Rag 310grs","mate grano fino","Museo","100% algodón","310","textura de grano fino","CLP","44490","44.490","60","50x75cm","50","75","60","75","True"
"felix_schoeller_baryta_310","Felix Schoeller Baryta 310grs","baritado (baryta)","Museo","algodón (según proveedor)","310","evoca fotografía de cuarto oscuro; negros profundos","CLP","37990","37.990","60","50x75cm","50","75","60","75","True"
"canson_platine_fibre_rag_310","Canson Platine Fibre Rag 310grs","semi brillante (algodón)","Museo","100% algodón","310","acabado baritado, negros profundos","CLP","44490","44.490","60","50x75cm","50","75","60","75","True"
"felix_schoeller_watercolor_rag_310","Felix Schoeller Watercolor Rag 310grs","texturado mate (algodón)","Museo","100% algodón","310","texturado tipo acuarela","CLP","37990","37.990","60","50x75cm","50","75","60","75","True"
"felix_schoeller_smooth_200","Felix Schoeller Smooth 200grs","mate","Studio/Photo","alfa-celulosa","200","acabado liso y opaco","CLP","27490","27.490","60","60x75cm","60","75","60","75","False"
"felix_schoeller_satin_240","Felix Schoeller Satin 240grs","semi brillante satinado","Studio/Photo","alfa-celulosa","240","semi brillo que refleja menos que fotográfico","CLP","28490","28.490","60","60x75cm","60","75","60","75","False"
"hahnemuhle_photo_luster_260","Hahnemühle Photo Luster 260grs","semi brillante (luster)","Studio/Photo","alfa-celulosa","260","tipo fotográfico, textura perlada suave","CLP","30490","30.490","60","60x75cm","60","75","60","75","False"
"canson_edition_etching_rag_310","Canson Edition Etching Rag 310grs","mate grano fino","Museo","100% algodón","310","textura de grano fino","CLP","44490","44.490","60","60x75cm","60","75","60","75","False"
"felix_schoeller_baryta_310","Felix Schoeller Baryta 310grs","baritado (baryta)","Museo","algodón (según proveedor)","310","evoca fotografía de cuarto oscuro; negros profundos","CLP","37990","37.990","60","60x75cm","60","75","60","75","False"
"canson_platine_fibre_rag_310","Canson Platine Fibre Rag 310grs","semi brillante (algodón)","Museo","100% algodón","310","acabado baritado, negros profundos","CLP","44490","44.490","60","60x75cm","60","75","60","75","False"
"felix_schoeller_watercolor_rag_310","Felix Schoeller Watercolor Rag 310grs","texturado mate (algodón)","Museo","100% algodón","310","texturado tipo acuarela","CLP","37990","37.990","60","60x75cm","60","75","60","75","False"
"felix_schoeller_smooth_200","Felix Schoeller Smooth 200grs","mate","Studio/Photo","alfa-celulosa","200","acabado liso y opaco","CLP","28990","28.990","60","60x80cm","60","80","60","80","False"
"felix_schoeller_satin_240","Felix Schoeller Satin 240grs","semi brillante satinado","Studio/Photo","alfa-celulosa","240","semi brillo que refleja menos que fotográfico","CLP","29990","29.990","60","60x80cm","60","80","60","80","False"
"hahnemuhle_photo_luster_260","Hahnemühle Photo Luster 260grs","semi brillante (luster)","Studio/Photo","alfa-celulosa","260","tipo fotográfico, textura perlada suave","CLP","31990","31.990","60","60x80cm","60","80","60","80","False"
"canson_edition_etching_rag_310","Canson Edition Etching Rag 310grs","mate grano fino","Museo","100% algodón","310","textura de grano fino","CLP","47490","47.490","60","60x80cm","60","80","60","80","False"
"felix_schoeller_baryta_310","Felix Schoeller Baryta 310grs","baritado (baryta)","Museo","algodón (según proveedor)","310","evoca fotografía de cuarto oscuro; negros profundos","CLP","39990","39.990","60","60x80cm","60","80","60","80","False"
"canson_platine_fibre_rag_310","Canson Platine Fibre Rag 310grs","semi brillante (algodón)","Museo","100% algodón","310","acabado baritado, negros profundos","CLP","46990","46.990","60","60x80cm","60","80","60","80","False"
"felix_schoeller_watercolor_rag_310","Felix Schoeller Watercolor Rag 310grs","texturado mate (algodón)","Museo","100% algodón","310","texturado tipo acuarela","CLP","39990","39.990","60","60x80cm","60","80","60","80","False"
"felix_schoeller_smooth_200","Felix Schoeller Smooth 200grs","mate","Studio/Photo","alfa-celulosa","200","acabado liso y opaco","CLP","30990","30.990","60","60x85cm","60","85","60","85","False"
"felix_schoeller_satin_240","Felix Schoeller Satin 240grs","semi brillante satinado","Studio/Photo","alfa-celulosa","240","semi brillo que refleja menos que fotográfico","CLP","31490","31.490","60","60x85cm","60","85","60","85","False"
"hahnemuhle_photo_luster_260","Hahnemühle Photo Luster 260grs","semi brillante (luster)","Studio/Photo","alfa-celulosa","260","tipo fotográfico, textura perlada suave","CLP","33990","33.990","60","60x85cm","60","85","60","85","False"
"canson_edition_etching_rag_310","Canson Edition Etching Rag 310grs","mate grano fino","Museo","100% algodón","310","textura de grano fino","CLP","49990","49.990","60","60x85cm","60","85","60","85","False"
"felix_schoeller_baryta_310","Felix Schoeller Baryta 310grs","baritado (baryta)","Museo","algodón (según proveedor)","310","evoca fotografía de cuarto oscuro; negros profundos","CLP","42490","42.490","60","60x85cm","60","85","60","85","False"
"canson_platine_fibre_rag_310","Canson Platine Fibre Rag 310grs","semi brillante (algodón)","Museo","100% algodón","310","acabado baritado, negros profundos","CLP","49990","49.990","60","60x85cm","60","85","60","85","False"
"felix_schoeller_watercolor_rag_310","Felix Schoeller Watercolor Rag 310grs","texturado mate (algodón)","Museo","100% algodón","310","texturado tipo acuarela","CLP","42490","42.490","60","60x85cm","60","85","60","85","False"
"felix_schoeller_smooth_200","Felix Schoeller Smooth 200grs","mate","Studio/Photo","alfa-celulosa","200","acabado liso y opaco","CLP","32490","32.490","60","60x90cm","60","90","60","90","False"
"felix_schoeller_satin_240","Felix Schoeller Satin 240grs","semi brillante satinado","Studio/Photo","alfa-celulosa","240","semi brillo que refleja menos que fotográfico","CLP","32990","32.990","60","60x90cm","60","90","60","90","False"
"hahnemuhle_photo_luster_260","Hahnemühle Photo Luster 260grs","semi brillante (luster)","Studio/Photo","alfa-celulosa","260","tipo fotográfico, textura perlada suave","CLP","35990","35.990","60","60x90cm","60","90","60","90","False"
"canson_edition_etching_rag_310","Canson Edition Etching Rag 310grs","mate grano fino","Museo","100% algodón","310","textura de grano fino","CLP","52490","52.490","60","60x90cm","60","90","60","90","False"
"felix_schoeller_baryta_310","Felix Schoeller Baryta 310grs","baritado (baryta)","Museo","algodón (según proveedor)","310","evoca fotografía de cuarto oscuro; negros profundos","CLP","44490","44.490","60","60x90cm","60","90","60","90","False"
"canson_platine_fibre_rag_310","Canson Platine Fibre Rag 310grs","semi brillante (algodón)","Museo","100% algodón","310","acabado baritado, negros profundos","CLP","52490","52.490","60","60x90cm","60","90","60","90","False"
"felix_schoeller_watercolor_rag_310","Felix Schoeller Watercolor Rag 310grs","texturado mate (algodón)","Museo","100% algodón","310","texturado tipo acuarela","CLP","44990","44.990","60","60x90cm","60","90","60","90","False"
"felix_schoeller_smooth_200","Felix Schoeller Smooth 200grs","mate","Studio/Photo","alfa-celulosa","200","acabado liso y opaco","CLP","33990","33.990","60","60x95cm","60","95","60","95","False"
"felix_schoeller_satin_240","Felix Schoeller Satin 240grs","semi brillante satinado","Studio/Photo","alfa-celulosa","240","semi brillo que refleja menos que fotográfico","CLP","34990","34.990","60","60x95cm","60","95","60","95","False"
"hahnemuhle_photo_luster_260","Hahnemühle Photo Luster 260grs","semi brillante (luster)","Studio/Photo","alfa-celulosa","260","tipo fotográfico, textura perlada suave","CLP","37490","37.490","60","60x95cm","60","95","60","95","False"
"canson_edition_etching_rag_310","Canson Edition Etching Rag 310grs","mate grano fino","Museo","100% algodón","310","textura de grano fino","CLP","55490","55.490","60","60x95cm","60","95","60","95","False"
"felix_schoeller_baryta_310","Felix Schoeller Baryta 310grs","baritado (baryta)","Museo","algodón (según proveedor)","310","evoca fotografía de cuarto oscuro; negros profundos","CLP","46990","46.990","60","60x95cm","60","95","60","95","False"
"canson_platine_fibre_rag_310","Canson Platine Fibre Rag 310grs","semi brillante (algodón)","Museo","100% algodón","310","acabado baritado, negros profundos","CLP","55490","55.490","60","60x95cm","60","95","60","95","False"
"felix_schoeller_watercolor_rag_310","Felix Schoeller Watercolor Rag 310grs","texturado mate (algodón)","Museo","100% algodón","310","texturado tipo acuarela","CLP","46990","46.990","60","60x95cm","60","95","60","95","False"
"felix_schoeller_smooth_200","Felix Schoeller Smooth 200grs","mate","Studio/Photo","alfa-celulosa","200","acabado liso y opaco","CLP","35490","35.490","60","60x100cm","60","100","60","100","False"
"felix_schoeller_satin_240","Felix Schoeller Satin 240grs","semi brillante satinado","Studio/Photo","alfa-celulosa","240","semi brillo que refleja menos que fotográfico","CLP","36490","36.490","60","60x100cm","60","100","60","100","False"
